title,desc
PM Modi urges North-East chief ministers to tighten Covid related protocols | India News,Prime Minister Modi urged the chief ministers of the North-Eastern states to tighten the rules and continually push the vaccination campaign up to battle the pandemic's third wave.
Punjab National Housing Finance-Carlyle deal | Govt asks PSU banks to examine all legal aspects before stake sale in entities | Business News,"Around 4-5 state-run banks are poised to offload stakes in their life insurance and home finance venture. Union Bank of India, for instance, is set to divest part of its 30% stake in IndiaFirst Life Indsurance."
NTPC to set up India&rsquo;s single largest solar park at Rann of Kutch | Business News,"As a part of its green energy portfolio augmentation, NTPC, India&rsquo;s largest energy integrated company, aims to build 60 GW Renewable Energy Capacity by 2032"
"Aravinda de Silva Sri Lanka cricketers | Aravinda de Silva demands &lsquo;suitable punishment&rsquo; for Niroshan Dickwella, Kushal Mendis Danushka Gunathilaka These players have had bad records earlier | Cricket News","Sri Lankan legend Aravinda de Silva has demanded &lsquo;suitable punishment&rsquo; for cricketers Niroshan Dickwella, Kushal Mendis, and Danushka Gunathilaka for breaching the bio-bubble in England."
Delhi weather: Rains bring waterlogging and traffic snarls in national capital | Delhi News,"As heavy showers surprised Delhi on Tuesday, the city suffered at the hands of severe waterlogging and heavy traffic in several areas. Commuters reported late to work and stayed stuck in traffic for hours."
"RRB NTPC 2021 CBT admit card released, Check details here | Education News","Railway Recruitment Board has released the admit card for its Non-Technical Popular Category, NTPC 7th&nbsp;phase. Candidates who applied for RRB NTPC examinations can check here for more details- rrbcdg.gov.in.&nbsp;"
Sundar Pchai plays cricket: 'Always love a chance to play' - Google CEO Sundar Pichai enjoys street cricket - WATCH | Cricket News,Google CEO Sundar Pichai is a huge cricket fan and rarely misses an opportunity to his hands at the game. He recently shared pictures on social media of himself enjoying some street cricket.
Chennai: Four gang members held for duping people by promising railway jobs   | Chennai News Headlines,Four gang members in Chennai were arrested by the Tiruvallur police for promising jobs in the railway department to people. The incident came to light when they threatened a man who demanded his money back.
Yashpal Sharma showed young players 'dream of trophies': Sourav Ganguly  | Cricket News,The right-handed batsman played a key role in India's 1983 World Cup win as he was the second-highest run-getter in the showpiece for India.
Jharkhand: Ambulance driver rapes mentally-challenged woman at govt hospital in Dhanbad | India News,"On June 26, some people admitted the mentally challenged and mute woman to the female medical ward of the state-run medical facility, a doctor said."
"Shaheer Sheikh on playing Manav | As fans trend #BoycottPavitraRishta2, Shaheer Sheikh admits he was 'scared' to step into Sushant's shoes as Manav","Shaheer Sheikh, who will soon be seen essaying the role of Manav in Pavitra Rishta 2 took to Twitter to share his thoughts on stepping into the shoes of a character immortalised by Sushant Singh Rajput."
"'Why Akhilesh, Rahul Gandhi talk in tandem with Pakistan?':&nbsp;MoS Home Nityanand Rai | India News","Nityanand Rai's comments have come after the Opposition questioned the arrests of alleged Al-Qaeda terrorists from Lucknow, Uttar Pradesh"
TMC nominates Mukul Roy for PAC chairman post: West Bengal BJP MLAs resign from standing committees | West Bengal News,"It is true that there is no rule but it has been the custom that the Speaker will allow the name proposed by the opposition and make him the chairman of the PAC, Monoj Tigga said."
Infosys Q1 preview: Expect strong Q1; FY22 revenue guidance may be revised upwards to 13-15%  | Business News,Expect strong dollar revenue growth of 3.9% QOQ and deal momentum from Infosys; Most Analysts expect FY22 guidance may be revised upwards: ET NOW Poll.
Unique eye makeup shades: Eye makeup shades you'll wish you would have known about sooner ,"Pretty eyes, pretty you! If you love applying different shades and trying out different eye makeup trends, we have the perfect colour palette for you to experiment with."
Mumbai fake vaccination scam: BMC writes to Centre to cancel certificates of fake jab scam victims | Mumbai News Updates,"BMC in its letter to the Centre has mentioned that total 9 incidences of unauthorized vaccination drives in Mumbai were informed through Police, News &amp; social media from 16th June, 2021 onwards."
"Electric vehicles in India | Maharashtra govt unveils EV policy, sets the target of 25% electrification of public transport by 2025 | Business News",The state government will give demand and supply side incentives to generate demand and incentivize production of EVs
"International Cricket Council: Simon Taufel ICC Academy partners with Simon Taufel, to introduce 'Umpire Accreditation Program'  | Cricket News","The aim of the program is to assist and inspire the next generation of Cricket Umpires in the UAE, as well as around the globe."
Revolt starts delivering new batch of RV400 and RV300 electric bikes,"These first sets of deliveries come in after the company received an overwhelming response to its sales bookings, it stated. Revolt Motors recently opened bookings for its flagship bike RV 400."
"Tokyo Olympics 2021: Olympic Village Tokyo 2020 Olympic Village opens its doors, welcomes athletes | Sports News","Over 11,000 athletes from 205 National Olympic Committees and the IOC Refugee Olympic Team will compete in the Games, with them majority staying in the Olympic Village."
Tokyo Olympics 2021: Deepak Kabra Deepak Kabra becomes first Indian gymnastics judge at Olympics | Sports News,"Kabra will be seen officiating the men's artistic gymnasts at the Tokyo Games, which gets underway on July 23."
UEFA Euro 2020 tournament: Team of the Tournament Euro 2020: 5 Italians and 3 English players in UEFA Team of the Tournament | Football News,"Notably, Euro 2020 top scorer and Golden Boot winner Portugal captain Cristiano Ronaldo failed to earn a place in the starting XI."
Indian Cricket Team: Ajit Agarkar Ajit Agarkar says Indian spin bowling has been a 'worry' | Cricket News,Agarkar backs Kuldeep to regain his confidence in the upcoming Sri Lankan series.
Telangana Congress in-charge Manickam Tagore sends legal notice to Kaushik Reddy over ₹50 crore bribery charge | India News,Telangana Pradesh Congress Committee (TPCC) in-charge Manickam Tagore sent a legal notice to former colleague Kaushik Reddy for alleging Revanth Reddy paid Tagore Rs 50 crore to get TPCC president post.
IND vs SL: Kumar Dharmasena Kumar Dharmasena among six match officials named for India's tour of Sri Lanka | Cricket News,The tour comprising three ODIs and as many T20Is will start from July 18 after the series was rescheduled last week.
Hero MotoCorp working on multiple electric vehicle programmes,"For the near and medium terms, the company is focussed on delivering products that are relevant and in line with the overall sustainability of the company."
Man sleeps 300 days| Real-life Kumbhkaran! Rajasthan man sleeps for 300 days a year due to rare disorder | Trending & Viral News,A man from Nagar in Rajasthan sleeps 300 days a year due to a rare sleeping disorder known as Axis hypersomnia.
"Haryana has released Delhi's water share, crisis will end in few days: DJB's Raghav Chadha  | Delhi News",DJB Vice Chairman Raghav Chadha claimed that Haryana released Delhi's legitimate share of water after the DJB moved the Supreme Court and held several rounds of talks with officials of the neighbouring state.
RBI Retail Direct Facility is a step in the right direction: Lakshmi Iyer | Business News,"Gilt markets are for those who understand the nuances of it, the more evolved investor could be the first to participate and as awareness picks up we could see more retail investor participation: Lakshmi Iyer"
PM Modi Tokyo Olympics: Tokyo 2020: PM Narendra Modi interacts with India's Olympic contingent | Sports News,A total of 126 athletes across 18 sports disciplines from India will be heading to Tokyo. This is the biggest-ever contingent India is sending to any Olympics. The games are beginning from July 23.
NEET PG 2021 on September 11: Health Minister | Education News,"NEET PG 2021 exam date has been announced by the Union Health Minister Mandaviya a while ago. Students can keep a check on the official website of NBE, nbe.edu.in to get more updates on the examination."
[Exclusive] MSCB scam: More than 3 lakh farmers of Maharashtra victims of the scam  | Mumbai News Updates,"The farmers as per contract with Sugar Cooperative mills only use to produce sugar cane for sugar mills. They were eligible to get 10-30% above MSP for their produce, but the amount didn't reach farmers."
"More than 900,000 people in France rush for COVID vaccine as tougher measures near ",Emmanuel Macron said health workers had to get vaccinated by September&nbsp;15 or face consequences.
Tamil Nadu: 31-year-old widow bludgeoned to death by drunk mother for spending too much time on phone | India News,A woman allegedly bludgeoned her widowed daughter to death at their residence in Tamil Nadu's Coimbatore district on Sunday.
Mekedatu Reservoir Project: Jal Shakti Minister says justice will be done to both Karnataka and Tamil Nadu | Bengaluru News,Union Jal Shakti Minister Gajendra Singh Shekhawat met Karnataka CM BS Yediyurappa today to discuss several projects including the Mekedatu project.
"DSSSB PGT Admit Cards released, Check details here   | Education News","Delhi Subordinate Services Selection Board, DSSSB has released the admit cards for its Post Graduate Recruitment, 2020 examinations. Candidates can download their&nbsp;admit cards from here- dsssb.delhi.gov.in"
"PM Modi Olympics athletes | PM Modi asks Mary Kom to name her favourite athlete in special interaction, Tokyo-bound boxer responds | Sports News","During a special interaction with the Tokyo-bound athletes ahead of the 2020 Olympics, Prime Minister Narendra Modi asked boxing legend MC Mary Kom to name her favourite athlete."
NTA NEET 2021 registration link for UG exam activated on neet.nta.nic.in - apply by August 7 | Education News,"NEET 2021 UG notification has been released by NTA on the official website. Interested and eligible candidates can apply online on neet.nta.nic.in. Check eligibility, important dates, exam centres, fees."
22 unarmed Afghan soldiers butchered by Taliban after peaceful surrender,"As soon as they are lined up in the street, gunfire erupts for barely 5-7 seconds and all the commandos can be seen lying dead on the ground."
"Karnataka should bring in new population policy on lines of Assam, Uttar Pradesh: BJP leader CT Ravi | India News","Karnataka government must introduce a policy on the lines of Uttar Pradesh and Assam to control the population, BJP national general secretary CT Ravi said."
Sourav Ganguly shirt wave celebration: 'All the Bengalis enjoyed' - Sourav Ganguly's better half Dona on his epic shirt wave at Lord's  | Cricket News,Sourav Ganguly's wife Dona Ganguly recently recalled the former Indian captain's iconic shirt wave celebration at the Lord's Cricket Ground after India won the Natwest Trophy in 2002.
