title,desc
"Woman duct-taped to plane seat after she tried opening the door | Woman tries to open plane door mid-flight, gets duct-taped to seat by crew [WATCH] | Trending & Viral News",Things apparently escalated when the flight attendants tried to calm down the woman. It got so out of hand for a while that she even tried biting and scratching some of the attendants while screaming she needed
"'Fleet of 10 UFOs' seen near ISS in NASA live stream | 'Fleet of 10 UFOs' seen hovering near ISS in NASA live stream, theorist&rsquo;s explainer goes viral [WATCH] | Trending & Viral News",The first screenshot that showed the orb-like objects was shared by UFO hunter 'Mr. MBB33'.
"Solar storm today | Powerful solar storm heading towards Earth at speed of 1.6 million kmph, could disrupt cellphone signals","Besides the communication infrastructure on Earth, the satellites in the upper atmosphere may also get affected by solar flares."
"England fans thrash Italian supporter: WATCH: England fans hammer Italian supporter, vent out frustration of team's Euro 2020 final defeat | Football News",Euro 2020 final: Some England fans were seen hammering an Italian supporter outside the stadium after the Italians' triumph over Harry Kane-led England at Wembley.
Italian village will pay Rs 24 lakhs to anyone who relocates | This picturesque Italian village will pay you Rs 24.5 lakhs to move in | Trending & Viral News,The deal not only comes with an assured sum of money but also picturesque views of the sea and mountains.
Euro 2020 award winners: From Cristiano Ronaldo to Gianluigi Donnarumma: Full list of award winners at Euro 2020 | Football News,"From Portugal captain Cristiano Ronaldo to Italy goalkeeper Gianluigi Donnarumma, here we take a look at all the award winners from Euro 2020."
PPF calculator| How much you need to deposit in PPF account per month to become a crorepati | Business News,"To extend your PPF account with contributions, you must notify the post office or bank where the account is maintained. You need to fill out the relevant form and submit it within one year of reaching maturity"
Leonardo Bonucci coca cola: Leonardo Bonucci drinks Coca Cola in presser post Italy's Euro 2020 triumph watch video Cristiano Ronaldo | Football News,Italian defender Leonardo Bonucci celebrated his team's victory in the Euro 2020 final by having both Coca Cola and beer at the press conference post the game.
England loses job over Euro | England fan who took sick leave to attend UEFA Euro 2020 semi-final sacked after spotted on TV  | Football News,An England fan was sacked from her job for watching the semi-final match of the UEFA Euro 2020 between Gareth Southgate's men and Denmark at the Wembley Stadium.
"Dharamshala weather | Himachal Pradesh: Cloudburst triggers flash floods in Dharamshala, causes severe damage in Bhagsu Nag | India News","Incessant rainfall continues to batter parts of Himachal Pradesh while an incident of cloudburst was reported in Dharamshala, triggering a flood-like situation."
IIT Kanpur launches 2 week certification program in Python Programming - all eligible to apply   | Education News, IIT Kanpur has launched a 2-week certificate program in Python engineering. All candidates are eligible for the course and can apply here- iitk.ac.in. The course aims to teach students the basics of Python.
FD interest rate| SBI vs HDFC Bank vs ICICI vs Axis Bank fixed deposit rates compared | Business News,"For a tenure of between 7 days to 10 years and a deposit amount of less than Rs 2 crore, banks that offer the highest FD rates are YES Bank, IndusInd Bank, UBI and Deutsche Bank"
England football domestic violence: Shocking! Instances of domestic violence increase 38% when England lose a football game - Report  | Football News,Cases of domestic violence increase by a staggering 38% in the UK when the England national football team loses a match.
Tina Ambani shares heart-touching note&nbsp;with these throwback pics to wish Shloka Mehta on her birthday | Business News,"In a note attached to the photo, the former Bollywood actress expressed her happiness of being able to witness Shloka &quot;blossom.&quot;"
Rakesh Jhunjhunwala | Jhunjhunwala in talks with senior aviation professionals to launch low-cost airline | Business News,A team led by former Jet Airways CEO Vinay Dube has held an initial round of discussions with Jhunjhunwala and a foreign investor for investment in the low-cost airline.
UPSC admit card UPSC CSE 2020 admit card released at upsc.gov.in - how to download here | Education News,UPSC CSE 2020 has released the admit card for the personality test of Civil Services Exam 2020. Candidates can download it from the official site- upsc.gov.in. Check how to download here.
"PMC Bank News | 'We are in process to setup small finance bank which will take over PMC Bank', says RBI in Delhi HC | Business News","The interim application was filed in the pending petition filed by Bejon Kumar Misra, challenging withdrawal limits in Punjab and Maharashtra Cooperative (PMC) Bank."
"Johnson &amp; Johnson&rsquo;s Covid-19 vaccine could cause paralysis, warns FDA",The Johnson &amp; Johnson vaccine had run into trouble earlier this year after the FDA briefly paused the jab following a rare blood clotting complication.
"Barbaric men gang-rape woman, insert beer bottles in her private parts at Palani lounge  | India News",A group of unidentified men allegedly gang-raped a married woman in Kerala and inserted beer bottles in her private parts.
"Andhra Pradesh: Angry with wife for giving birth to son, man kills daughter by banging her head against wall | India News","Police said the accused, who wanted a male child, had been harassing his wife for giving birth to two daughters."
Valimai update: 'Thala looks young as ever' Ajith Kumar fans rejoice as Valimai first look drops online,Ajith Kumar has done it again! The actor once again managed to leave his fans floored with his first look in the much-awaited film Valimai. The first glimase of the film dropped today.
